1.87657945,0.05858444,0.18112921,0.00549348,0.9715
1.89727338,0.07244695,0.18119659,0.00666386,0.9631
1.85274336,0.02800094,0.18126401,0.00248553,0.9073
1.85359111,0.03597811,0.18132936,0.00317579,0.9023
1.84846732,0.05499129,0.18141871,0.00511926,0.9485
1.97865352,0.04674715,0.18142427,0.00387435,0.9039
1.89560371,0.03555418,0.18147160,0.00304776,0.8954
1.91319596,0.12710762,0.18147275,0.01138793,0.9445
1.96655047,0.04962383,0.18150130,0.00415124,0.9064
1.88123803,0.05097084,0.18150560,0.00472657,0.9611
1.86970622,0.04673996,0.18168292,0.00436847,0.9618
1.87835356,0.04610518,0.18171866,0.00412497,0.9248
1.84844848,0.03897462,0.18176626,0.00354406,0.9247
1.88742252,0.03088416,0.18182429,0.00263537,0.8858
1.87724940,0.04307083,0.18187925,0.00378267,0.9065
1.92080635,0.03972972,0.18193765,0.00343344,0.9124
1.89901536,0.03261041,0.18202898,0.00282563,0.9040
1.90314200,0.04297486,0.18205729,0.00389548,0.9476
1.88117541,0.04583332,0.18210203,0.00429380,0.9678
1.89699348,0.04941409,0.18211660,0.00445213,0.9385
1.89402063,0.04042333,0.18214738,0.00360658,0.9277
1.92148273,0.04155641,0.18224169,0.00353353,0.8965
1.96957347,0.03931017,0.18230340,0.00315404,0.8668
1.94191078,0.04794041,0.18233727,0.00420384,0.9339
1.93862721,0.04407036,0.18239329,0.00383637,0.9253
1.90484015,0.03622235,0.18242724,0.00317374,0.9149
1.87101798,0.03363292,0.18246731,0.00290077,0.8844
1.91319822,0.04279451,0.18247542,0.00374179,0.9167
1.87787163,0.04562530,0.18250257,0.00425507,0.9596
1.86845531,0.04044821,0.18253345,0.00375880,0.9512
1.90793871,0.03790858,0.18261807,0.00338005,0.9316
1.91789467,0.04189153,0.18268325,0.00370930,0.9296
1.91877370,0.03106972,0.18268454,0.00268109,0.9064
1.92540562,0.03307473,0.18275399,0.00273095,0.8699
1.91078112,0.03514133,0.18275564,0.00308786,0.9187
1.93210762,0.03972988,0.18278071,0.00333392,0.8870
1.88929087,0.03742200,0.18279878,0.00328697,0.9078
1.92475695,0.04144244,0.18281051,0.00338738,0.8606
1.91107104,0.03453444,0.18282571,0.00307014,0.9293
1.89800733,0.03774968,0.18294794,0.00340667,0.9362
1.91152102,0.04940267,0.18295175,0.00447838,0.9471
1.97026627,0.04218232,0.18296599,0.00326046,0.8323
1.94458882,0.05421366,0.18298959,0.00456106,0.8940
2.15941004,0.07341171,0.18308442,0.00354172,0.5690
1.93386716,0.03661830,0.18319086,0.00322493,0.9297
1.92115113,0.03823973,0.18323444,0.00339208,0.9301
1.91637886,0.05005404,0.18324666,0.00463471,0.9683
1.88597542,0.04419737,0.18330333,0.00412251,0.9597
1.89459784,0.04405338,0.18331546,0.00399257,0.9367
1.91588703,0.08742852,0.18336224,0.00806341,0.9637
1.92683784,0.04241652,0.18343727,0.00377168,0.9340
1.98183042,0.04249584,0.18345755,0.00314210,0.7987
1.90719582,0.03679995,0.18346865,0.00327194,0.9243
1.89365402,0.03593411,0.18347220,0.00324298,0.9315
1.88759556,0.04690310,0.18354201,0.00430964,0.9450
1.91767231,0.03111123,0.18354317,0.00267369,0.8979
1.94819901,0.05196447,0.18363305,0.00468089,0.9557
1.93034554,0.03667813,0.18363924,0.00289128,0.8286
1.90958977,0.03876658,0.18364838,0.00342580,0.9189
1.92197432,0.05265850,0.18365585,0.00483499,0.9609
1.90734223,0.06050421,0.18365916,0.00556501,0.9552
1.94730547,0.06204382,0.18368230,0.00558342,0.9540
1.90072332,0.03993287,0.18373502,0.00345103,0.8940
1.91577845,0.04223638,0.18374864,0.00381572,0.9419
1.92100188,0.03940618,0.18376086,0.00347191,0.9210
1.87859171,0.03104821,0.18379721,0.00272806,0.8981
1.90786208,0.03593972,0.18383767,0.00315236,0.9103
1.93021508,0.06568642,0.18385154,0.00585589,0.9360
1.89164209,0.03698324,0.18385458,0.00327194,0.9103
1.94811827,0.05818389,0.18386557,0.00531291,0.9675
1.92358487,0.03867153,0.18388174,0.00326404,0.8830
1.89324311,0.03697988,0.18389138,0.00324904,0.9046
1.90128922,0.03703336,0.18393961,0.00321448,0.8972
1.92985370,0.04728105,0.18396017,0.00395097,0.8766
1.89962643,0.04400858,0.18416823,0.00401367,0.9407
1.89628358,0.06731310,0.18416824,0.00628771,0.9618
1.91353767,0.04045693,0.18417028,0.00361928,0.9295
1.92980843,0.05017300,0.18424144,0.00451830,0.9433
1.90110233,0.03376382,0.18427955,0.00291194,0.8897
1.93922150,0.03325702,0.18433154,0.00274471,0.8682
1.98444616,0.05544205,0.18433723,0.00490722,0.9528
1.91992544,0.03946859,0.18437127,0.00342437,0.9035
